status,gender,province,birthPlace,deathDate,deathCause,actor
0,0,5,Shiekh Anbar,2012,11,5
1,0,7,Houla,2012,11,5
1,0,7,Deir Baalba,2012,11,5
1,0,7,Talbiseh,2012,11,5
0,0,7,Abel,2012,11,5
1,0,7,Deir Bealbeih,2012,10,5
0,0,7,Der Baalba,2012,10,5
0,0,7,Ghanto,2012,10,5
0,0,7,Ghanto,2012,10,5
0,0,7,Baba Amr,2012,11,5
0,0,5,Jarajma,2012,5,5
1,0,7,Talbiseh,2012,11,5
0,0,5,Sahel Al-Ghab : Qaber Fedda,2012,10,5
0,0,7,Rastan,2012,10,5
1,0,7,Qaryatain,2012,11,5
0,0,5,Kafarzeita,2012,10,5
1,0,7,Qusair,2012,10,5
0,0,7,Bewida Sharqya,2012,15,5
0,0,7,Baba Amr,2012,15,5
1,0,7,Baba Amr,2012,11,5
1,0,7,Houleh,2012,11,5
1,0,7,Talbiseh,2012,11,5
0,3,7,Telbeiseh,2012,10,5
0,0,5,Mugeer,2012,2,5
0,0,8,Sheikh Ismael village,2012,4,1
0,0,2,Serghaya,2012,10,5
1,0,5,Madiq Castle,2012,11,5
1,0,7,Qaryatein,2012,11,5
0,0,7,Baba Amr,2012,10,5
0,0,7,Mbarakia,2012,2,5
0,0,2,Serghaya,2012,5,5
0,2,2,Serghaya,2012,11,5
0,1,7,Talbiseh,2012,10,5
1,0,4,Hawayij village,2012,11,5
0,2,7,Qusair: Jusia,2012,5,5
0,0,7,Talbiseh,2012,10,5
0,0,7,Qusair,2012,10,5
0,0,3,Sanamein,2012,11,5
1,0,5,Hilfaya,2012,11,5
0,0,5,Kafr Zaita,2012,11,5
1,0,7,Qussair,2012,11,5
1,0,7,Dabaa,2012,10,5
1,0,5,Soran,2012,11,5
1,0,5,Latamneh,2012,10,5
0,0,7,Qusair,2012,10,5
0,0,7,Ghanto,2012,10,5
0,0,5,Latamna,2012,7,5
0,0,7,Qusair,2012,10,5
1,0,2,Erbeen,2012,10,5
1,0,7,Old Homs,2012,10,5
1,0,0,Hretan,2012,10,5
0,0,2,Erbeen,2012,10,5
1,0,7,Talbiseh,2012,10,5
1,0,7,Der Baalba,2012,11,5
0,0,7,Bweda,2012,11,5
0,0,7,Khaldieh,2012,10,5
0,0,5,Latamneh,2012,11,5
0,0,5,Latamneh,2012,11,5
0,0,5,Twenah,2012,10,5
0,0,7,Bayadeh,2012,10,5
0,0,3,Mahajja,2012,2,5
1,0,7,Maheen,2012,11,1
1,0,0,Hreitan,2012,11,5
0,0,5,Hader,2012,11,5
1,0,7,Maheen,2012,11,5
0,0,7,Khaldiyeh,2012,10,5
0,0,7,Talbiseh,2012,10,5
0,0,5,Aqirbat,2012,11,5
0,0,10,Iraq,2012,11,1
0,0,7,Qosair,2012,10,5
0,0,7,Houla,2012,5,5
0,0,7,Houla,2012,11,5
0,0,7,Rabee Arabi Neighborhood,2012,2,5
0,0,7,Ghantto,2012,11,5
0,0,7,Rastan,2012,11,1
0,0,7,Palmyra,2012,7,5
1,0,5,Helfaya,2012,11,5
0,0,7,Qusair: Josseh,2012,11,5
0,0,7,Rastan,2012,11,5
0,0,7,Rastan: Kissin,2012,11,5
0,0,8,Al-Laj,2012,11,5
0,0,8,Maaret Al-Nouman,2012,11,5
1,0,4,Mohasan,2012,11,5
0,1,4,Qorieh,2012,11,5
0,0,8,Taftnaz,2012,11,5
0,0,7,Talbiseh: Eastern Farhanieh,2012,11,5
1,0,3,Jeeza,2012,11,5
0,0,5,Sahl Al-Ghab: Shahrnaz,2012,11,5
0,0,7,Joret Al-Shiyah,2012,11,5
0,0,7,Joret Al-Shiyah,2012,11,5
0,0,5,Suran,2012,11,5
0,0,2,Al-Tal,2012,11,5
0,0,7,Joret Al-Shiyah,2012,11,5
0,0,7,Qosair,2012,11,5
0,0,1,Kafar Souseh,2012,11,5
0,0,8,Saraqeb,2012,10,5
1,0,2,Mleha,2012,11,5
0,0,8,Saraqeb,2012,10,5
0,0,8,Ain Sheeb,2012,11,5
1,0,2,Douma,2012,11,5
0,0,7,Qaryatein,2012,11,5
0,0,2,Misraba,2012,11,5
0,0,0,Atareb,2012,10,5
0,0,8,Maaret Al-Nouman,2012,2,5
0,0,8,Saraqeb,2012,10,5
0,0,2,Dumair : Hae Sharky,2012,11,1
0,0,5,Al-Arbaeen area,2012,11,5
0,0,2,Housh Arab,2012,10,5
0,0,5,Aleppo Way,2012,11,5
0,0,7,Bab Dreib,2012,10,5
0,0,2,Housh Arab,2012,10,5
0,0,2,Zabadany,2012,10,5
0,0,5,Tareeq Halab neighborhood,2012,11,5
0,0,7,Talbiseh,2012,11,5
0,2,7,Rastan,2012,10,5
0,0,2,Bakhaa,2012,10,5
0,0,2,Misraba,2012,11,5
1,0,8,Binnish,2012,11,5
0,1,2,Daraya,2012,11,5
0,0,3,Izraa,2012,4,5
1,0,7,Qusair: Josseh,2012,6,5
0,1,8,Khan Sheikhon,2012,11,5
0,0,8,Hazano,2012,11,5
0,1,1,Midan,2012,4,5
0,0,12,Tabqa,2012,11,5
0,0,0,Andan,2012,11,5
0,1,1,Midan,2012,4,5
0,1,7,Qsoor,2012,5,5
0,0,5,Hweija,2012,11,5
0,0,7,Deir Baalba,2012,5,5
0,0,0,Mari,2012,11,5
0,0,0,Mari,2012,11,5
0,0,4,Bo Omar,2012,11,5
1,0,7,Talbiseh,2012,11,5
1,0,7,Qsoor,2012,11,5
0,0,4,Workers Nieghborhood,2012,11,5
0,2,7,Qosair,2012,10,5
1,0,7,Talbiseh,2012,10,5
1,0,2,Bweda,2012,11,5
0,0,0,Darat Azza,2012,2,5
0,2,5,Aleppo Road,2012,11,5
0,0,2,Douma,2012,11,5
1,0,2,Douma,2012,11,5
0,0,5,Mugheer,2012,11,5
0,0,8,Saraqeb,2012,5,5
0,1,2,Douma,2012,11,5
1,0,2,Harasta,2012,11,5
0,0,2,Douma,2012,11,5
0,0,3,Tafas,2012,11,5
0,0,5,Halfaia,2012,11,5
0,0,5,Halfaia,2012,11,5
0,0,7,Baba Amr,2012,10,5
0,0,0,Hayyan,2012,11,5
0,0,7,Bayada,2012,10,5
1,0,7,Der Baalba,2012,11,5
0,0,5,Latamne,2012,11,5
